"Class_ID","Department","Number","Section","Name_SOLAR","Section_ID","Title_Catalog","Instructor","Days","Time","Enrolled","Units","Mode","Type","term","crn","note","title","xlist","xlist_crn","instructor","group","theme","graduate_level","year_long","subject","status","units","quarter","duration","no_prereq","days","time","location","meetings","seats_available","reserved_seats","instruction_mode","Students","Seats","Percent_Fill","Level"
"REPO 470 Thesis (Religion-Pol Science)","REPO",470,"Y","Thesis (Religion-Pol Science)","REPO 470 Y","REPO 470 Y - Thesis (Religion-Pol Science)","Staff",NA,"TBD","0 of 10",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30382,NA,"Thesis(Religion-Pol Science)","[]","[]","Staff","[]","[]",NA,"Y","Religion/Political Science","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,10,0,4
"RTHE 470 Thesis (Religion-Theatre)","RTHE",470,"Y","Thesis (Religion-Theatre)","RTHE 470 Y","RTHE 470 Y - Thesis (Religion-Theatre)","Staff",NA,"TBD","0 of 5",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",31148,NA,"Thesis(Religion-Theatre)","[]","[]","Staff","[]","[]",NA,"Y","Religion/Theatre","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,5,0,4
"RUAN 470 Thesis (Russian-Anthropology)","RUAN",470,"Y","Thesis (Russian-Anthropology)","RUAN 470 Y","RUAN 470 Y - Thesis (Russian-Anthropology)","Staff",NA,"TBD","0 of 10",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30348,NA,"Thesis (Russian-Anthropology)","[]","[]","Staff","[]","[]",NA,"Y","Russian/Anthropology","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,10,0,4
"RUSS 112 First-Year Russian II","RUSS",112,"S02","First-Year Russian II","RUSS 112 S02","RUSS 112 S02 - First-Year Russian II","Bershtein","MTuWThF","12:00 - 12:50","6 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30941,NA,"First-Year Russian II","[]","[]","Bershtein, Zhenya","['1']","[]",NA,"N","Russian","active",1,NA,"1 semester","N","['MTuWThF']","['12:00-12:50']","['VOLLUM 302']","[['Monday', '1200', '1250', 'VOLLUM 302'], ['Tuesday', '1200', '1250', 'VOLLUM 302'], ['Wednesday', '1200', '1250', 'VOLLUM 302'], ['Thursday', '1200', '1250', 'VOLLUM 302'], ['Friday', '1200', '1250', 'VOLLUM 302']]","any students, new students","N","In-Person Instruction Only",6,24,0.25,1
"RUSS 220 Second-Year Russian","RUSS",220,"Y","Second-Year Russian","RUSS 220 Y","RUSS 220 Y - Second-Year Russian","Grinberg","MTuWThF","12:00 - 12:50","4 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30037,NA,"Second-Year Russian","[]","[]","Grinberg, Marat","['1']","[]",NA,"Y","Russian","active",1,NA,"Year-long","N","['MTuWThF']","['12:00-12:50']","['VOLLUM 309']","[['Monday', '1200', '1250', 'VOLLUM 309'], ['Tuesday', '1200', '1250', 'VOLLUM 309'], ['Wednesday', '1200', '1250', 'VOLLUM 309'], ['Thursday', '1200', '1250', 'VOLLUM 309'], ['Friday', '1200', '1250', 'VOLLUM 309']]","any students, new students","N","In-Person Instruction Only",4,24,0.166666666666667,2
"RUSS 373 20th-Century Russian Lit","RUSS",373,"S","20th-Century Russian Lit","RUSS 373 S","RUSS 373 S - 20th-Century Russian Lit","Grinberg","TuTh","13:40 - 15:00","15 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30942,NA,"20th-Century Russian Lit","['LITR 373']","['30943']","Grinberg, Marat","['1']","[]",NA,"N","Russian","active",1,NA,"1 semester","N","['TuTh']","['13:40-15:00']","['ELIOT 216']","[['Tuesday', '1340', '1500', 'ELIOT 216'], ['Thursday', '1340', '1500', 'ELIOT 216']]","any students, new students","N","In-Person Instruction Only",15,24,0.625,3
"RUSS 385 Pushkin 's ""Eugene Onegin ""","RUSS",385,"S","Pushkin 's ""Eugene Onegin ""","RUSS 385 S","RUSS 385 S - Pushkin 's ""Eugene Onegin ""","Bershtein","W","18:10 - 21:00","12 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",31102,NA,"Pushkin's ""Eugene Onegin""","[]","[]","Bershtein, Zhenya","['1']","[]",NA,"N","Russian","active",1,NA,"1 semester","N","['W']","['18:10-21:00']","['VOLLUM 134']","[['Wednesday', '1810', '2100', 'VOLLUM 134']]","any students, new students","N","In-Person Instruction Only",12,24,0.5,3
"RUSS 394 Arctic Awakenings","RUSS",394,"S","Arctic Awakenings","RUSS 394 S","RUSS 394 S - Arctic Awakenings","Caffee","TuTh","15:10 - 16:30","19 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30944,NA,"Arctic Awakenings","['LITR 394']","['30945']","Caffee, Naomi","['1']","['Comp Race & Ethnicity Studies']",NA,"N","Russian","active",1,NA,"1 semester","N","['TuTh']","['15:10-16:30']","['VOLLUM 110']","[['Tuesday', '1510', '1630', 'VOLLUM 110'], ['Thursday', '1510', '1630', 'VOLLUM 110']]","any students, new students","N","In-Person Instruction Only",19,24,0.791666666666667,3
"RUSS 470 Thesis (Russian)","RUSS",470,"Y","Thesis (Russian)","RUSS 470 Y","RUSS 470 Y - Thesis (Russian)","Staff",NA,"TBD","0 of 40",1,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",30017,NA,"Thesis (Russian)","[]","[]","Staff","[]","[]",NA,"Y","Russian","active",1,NA,"Year-long","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,40,0,4
"SA 300 Study Abroad / Away","SA",300,"S","Study Abroad / Away","SA 300 S","SA 300 S - Study Abroad / Away","del Rio Malo",NA,"TBD","0 of 100",3.5,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",31127,NA,"Study Abroad / Away","[]","[]","del Rio Malo, Alberto","[]","[]",NA,"N","Study Abroad/Away","active",3.5,NA,"1 semester","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",0,100,0,3
"SA 320 IES Argentina-Lat Am Soc & Cult","SA",320,"S04","IES Argentina-Lat Am Soc & Cult","SA 320 S04","SA 320 S04 - IES Argentina-Lat Am Soc & Cult","del Rio Malo",NA,"TBD","1 of 10",3.5,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",31438,NA,"IES Argentina-LatAm Soc & Cult","[]","[]","del Rio Malo, Alberto","[]","[]",NA,"N","Study Abroad/Away","active",3.5,NA,"1 semester","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",1,10,0.1,3
"SA 356 American Uni Central Asia-Bard","SA",356,"S01","American Uni Central Asia-Bard","SA 356 S01","SA 356 S01 - American Uni Central Asia-Bard","del Rio Malo",NA,"TBD","1 of 10",3.5,"Instruction mode N/A","INDEPENDENT STUDY","Spring 2024",31439,NA,"American Uni Central Asia-Bard","[]","[]","del Rio Malo, Alberto","[]","[]",NA,"N","Study Abroad/Away","active",3.5,NA,"1 semester","N","[]","['TBD']","[]","[]","any students, new students","N","N/A",1,10,0.1,3
"SOC 211 Introduction to Sociology","SOC",211,"S01","Introduction to Sociology","SOC 211 S01","SOC 211 S01 - Introduction to Sociology","Ozkan","MW","13:10 - 14:30","Full (no wait list available)",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30309,"Open to firstyear students without prerequisite.","Introduction to Sociology","[]","[]","Ozkan, Yalcin","['2']","[]",NA,"N","Sociology","active",1,NA,"1 semester","Y","['MW']","['13:10-14:30']","['VILASE ASPEN MR']","[['Monday', '1310', '1430', 'VILASE ASPEN MR'], ['Wednesday', '1310', '1430', 'VILASE ASPEN MR']]",NA,"Y","In-Person Instruction Only",NA,NA,1,2
"SOC 211 Introduction to Sociology","SOC",211,"S02","Introduction to Sociology","SOC 211 S02","SOC 211 S02 - Introduction to Sociology","Ozkan","MW","14:40 - 16:00","13 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30310,"Open to firstyear students without prerequisite.","Introduction to Sociology","[]","[]","Ozkan, Yalcin","['2']","[]",NA,"N","Sociology","active",1,NA,"1 semester","Y","['MW']","['14:40-16:00']","['VILASE ASPEN MR']","[['Monday', '1440', '1600', 'VILASE ASPEN MR'], ['Wednesday', '1440', '1600', 'VILASE ASPEN MR']]","any students, new students","Y","In-Person Instruction Only",13,24,0.541666666666667,2
"SOC 211 Introduction to Sociology","SOC",211,"S03","Introduction to Sociology","SOC 211 S03","SOC 211 S03 - Introduction to Sociology","Kwon","TuTh","12:00 - 13:20","22 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30410,"Open to firstyear students without prerequisite.","Introduction to Sociology","[]","[]","Kwon, Yaejoon","['2']","[]",NA,"N","Sociology","active",1,NA,"1 semester","Y","['TuTh']","['12:00-13:20']","['VOLLUM 126']","[['Tuesday', '1200', '1320', 'VOLLUM 126'], ['Thursday', '1200', '1320', 'VOLLUM 126']]","any students, new students","Y","In-Person Instruction Only",22,24,0.916666666666667,2
"SOC 211 Introduction to Sociology","SOC",211,"S04","Introduction to Sociology","SOC 211 S04","SOC 211 S04 - Introduction to Sociology","Hrycak","TuTh","13:40 - 15:00","11 of 18",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30948,"Open to firstyear students without prerequisite.","Introduction to Sociology","[]","[]","Hrycak, Alexandra","['2']","[]",NA,"N","Sociology","active",1,NA,"1 semester","Y","['TuTh']","['13:40-15:00']","['ETC 205']","[['Tuesday', '1340', '1500', 'ETC 205'], ['Thursday', '1340', '1500', 'ETC 205']]","any students, new students","Y","In-Person Instruction Only",11,18,0.611111111111111,2
"SOC 231 Organizations","SOC",231,"S","Organizations","SOC 231 S","SOC 231 S - Organizations","Schneiberg","Tu","18:10 - 21:00","19 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30949,NA,"Organizations","[]","[]","Schneiberg, Marc","['2']","[]",NA,"N","Sociology","active",1,NA,"1 semester","N","['Tu']","['18:10-21:00']","['ETC 208']","[['Tuesday', '1810', '2100', 'ETC 208']]","any students, new students","N","In-Person Instruction Only",19,24,0.791666666666667,2
"SOC 280 Social Movements","SOC",280,"S","Social Movements","SOC 280 S","SOC 280 S - Social Movements","Hrycak","MW","14:40 - 16:00","20 of 24",1,"In-Person Instruction Only","CONFERENCE","Spring 2024",30644,NA,"Social Movements","[]","[]","Hrycak, Alexandra","['2']","['Comp Race & Ethnicity Studies']",NA,"N","Sociology","active",1,NA,"1 semester","N","['MW']","['14:40-16:00']","['ETC 205']","[['Monday', '1440', '1600', 'ETC 205'], ['Wednesday', '1440', '1600', 'ETC 205']]","any students, new students","N","In-Person Instruction Only",20,24,0.833333333333333,2
